Code,Points,Elo,FIFA,Round,Group,Flag Code
Afghanistan,,,,1,A,
Mongolia,,,,1,A,
Maldives,,,,1,B,
Bangladesh,,,,1,B,
Singapore,,,,1,C,
Guam,,,,1,C,
Yemen,,,,1,D,
Sri_Lanka,,,,1,D,
Myanmar,,,,1,E,
Macau,,,,1,E,
Cambodia,,,,1,F,
Pakistan,,,,1,F,
Chinese_Taipei,,,,1,G,
Timor-Leste,,,,1,G,
Indonesia,,,,1,H,
Brunei,,,,1,H,
Hong_Kong,,,,1,I,
Bhutan,,,,1,I,
Nepal,,,,1,J,
Laos,,,,1,J,
Japan,,,,2,,
Iran,,,,2,,
Australia,,,,2,,
South_Korea,,,,2,,
Saudi_Arabia,,,,2,,
Qatar,,,,2,,
Iraq,,,,2,,
United_Arab_Emirates,,,,2,,
Oman,,,,2,,
Uzbekistan,,,,2,,
China,,,,2,,
Jordan,,,,2,,
Bahrain,,,,2,,
Syria,,,,2,,
Vietnam,,,,2,,
Palestine,,,,2,,
Kyrgyzstan,,,,2,,
India,,,,2,,
Lebanon,,,,2,,
Tajikistan,,,,2,,
Thailand,,,,2,,
North_Korea,,,,2,,
Philippines,,,,2,,
Malaysia,,,,2,,
Kuwait,,,,2,,
Turkmenistan,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,2,,
,,,,3,A,
,,,,3,A,
,,,,3,A,
,,,,3,A,
,,,,3,A,
,,,,3,A,
,,,,3,B,
,,,,3,B,
,,,,3,B,
,,,,3,B,
,,,,3,B,
,,,,3,B,
,,,,3,C,
,,,,3,C,
,,,,3,C,
,,,,3,C,
,,,,3,C,
,,,,3,C,
,,,,4,A,
,,,,4,A,
,,,,4,A,
,,,,4,B,
,,,,4,B,
,,,,4,B,
,,,,5,,
,,,,5,,